Column1,Name,Salary
220,Kevon Looney,4464286
221,Dennis Smith,4463640
222,Jamal Murray,4444746
223,Kevin Knox,4380120
224,Cam Reddish,4245720
225,Zach Collins,4240200
226,Mikal Bridges,4161000
227,Alex Len,4160000
228,Nicolo Melli,4102564
229,Cameron Johnson,4033440
230,Malik Monk,4028400
231,JaVale McGee,4000000
231,Reggie Bullock,4000000
231,Dorian Finney-Smith,4000000
231,Patrick McCaw,4000000
235,Shai Gilgeous-Alexander,3952920
236,PJ Washington,3831840
237,Luke Kennard,3827160
238,Miles Bridges,3755400
239,Jakob Poeltl,3754885
240,Tyler Herro,3640200
241,Donovan Mitchell,3635760
242,Stanley Johnson,3623000
243,Jake Layman,3581986
244,Thon Maker,3569643
245,Jerome Robinson,3567720
246,Allonzo Trier,3551100
247,Danuel House,3540000
248,Domantas Sabonis,3529554
249,Boban Marjanovic,3500000
249,TJ McConnell,3500000
249,DeMarcus Cousins,3500000
252,Taurean Prince,3481985
252,Dario Saric,3481985
254,Romeo Langford,3458400
255,Bam Adebayo,3454080
256,Michael Porter,3389400
257,Denzel Valentine,3377568
258,Juan Hernangomez,3321029
259,Sekou Doumbouya,3285120
260,Justin Jackson,3280920
261,Troy Brown,3219480
262,Markieff Morris,3200000
263,Jon Leuer,3169348
264,Yogi Ferrell,3150000
265,Patrick Patterson,3068660
266,Zhaire Smith,3058800
267,Ryan Arcidiacono,3000000
267,Quinn Cook,3000000
267,Khem Birch,3000000
267,Omer Asik,3000000
271,Nickeil Alexander-Walker,2964840
272,DJ Wilson,2961120
273,Cedi Osman,2907143
274,Donte DiVincenzo,2905800
275,Bryn Forbes,2875000
276,Andrew Nicholson,2844429
277,Goga Bitadze,2816760
278,TJ Leaf,2813280
279,Lonnie Walker,2764200
280,Alex Caruso,2750000
281,Malik Beasley,2731713
282,Luka Samanic,2689920
283,John Collins,2686560
284,Kevin Huerter,2636280
285,Caris LeVert,2625717
286,Marko Guduric,2625000
287,DeAndre Bembry,2603981
288,Matisse Thybulle,2582160
289,Harry Giles,2578800
290,Rajon Rondo,2564753
290,Wesley Matthews,2564753
290,Vince Carter,2564753
290,Wilson Chandler,2564753
290,Jose Juan Barea,2564753
290,Tyson Chandler,2564753
290,Gerald Green,2564753
290,Thabo Sefolosha,2564753
290,Jared Dudley,2564753
290,Udonis Haslem,2564753
290,Anthony Tolliver,2564753
290,Jeff Green,2564753
302,Josh Okogie,2530680
303,Vincent Poirier,2505793
304,Rondae Hollis-Jefferson,2500000
305,Brandon Clarke,2478840
306,Terrance Ferguson,2475840
307,Grayson Allen,2429400
308,Grant Williams,2379840
309,Jarrett Allen,2376840
310,Pascal Siakam,2351838
311,Skal Labissiere,2338846
312,Chandler Hutchison,2332320
313,Dejounte Murray,2321735
314,Alec Burks,2320044
314,Isaiah Thomas,2320044
316,Damian Jones,2305057
317,Darius Bazley,2284800
318,OG Anunoby,2281800
318,Ante Zizic,2281800
320,Luke Kornet,2250000
321,Monta Ellis,2245400
322,Aaron Holiday,2239200
323,Ty Jerome,2193480
324,Willie Cauley-Stein,2177483
325,Kyle O'Quinn,2174318
326,Austin Rivers,2174310
327,Anfernee Simons,2149560
328,Matt Barnes,2133542
329,Nassir Little,2105520
330,Moritz Wagner,2063520
331,Dylan Windler,2035800
332,Caleb Swanigan,2033160
333,Ben McLemore,2028594
333,Mike Muscala,2028594
333,Troy Daniels,2028594
333,Michael Carter-Williams,2028594
333,Trey Burke,2028594
338,Spencer Hawes,2007058
339,Edmond Sumner,2000000
339,Torrey Craig,2000000
339,Noah Vonleh,2000000
342,Landry Shamet,1995120
343,Mfiondu Kabengele,1977000
344,Kyle Kuzma,1974600
345,Jordan Poole,1964760
346,Tony Bradley,1962360
347,Keldon Johnson,1950600
348,Derrick White,1948080
349,Robert Williams,1937520
350,Josh Hart,1934160
351,Jacob Evans,1928280
352,Anderson Varejao,1913345
353,Dzanan Musa,1911600
354,Omari Spellman,1897800
