rank,Name,Team,POS,Salary,Years,Total Value,Avg Annual,Affliation
368,Jared Hughes,CIN,RP,2250000,2 (2018-19),4500000,2250000,
373,Vince Velasquez,PHI,SP,2249000,1 (2019),2249000,2249000,
374,Junior Guerra,MIL,SP,2225000,1 (2019),2225000,2225000,
375,Jake Marisnick,HOU,OF,2212500,1 (2019),2212500,2212500,
376,Brad Boxberger,KC,RP,2200000,1 (2019),2200000,2200000,
377,Mychal Givens,BAL,RP,2150000,1 (2019),2150000,2150000,
377,Liam Hendriks,OAK,RP,2150000,1 (2019),2150000,2150000,
379,Anthony DeSclafani,CIN,SP,2125000,1 (2019),2125000,2125000,
380,Pedro Baez,LAD,RP,2100000,1 (2019),2100000,2100000,
381,Austin Hedges,SD,C,2060000,1 (2019),2060000,2060000,
382,Mark Canha,OAK,OF,2050000,1 (2019),2050000,2050000,
382,Jordan Lyles,PIT,SP,2050000,1 (2019),2050000,2050000,
384,Brian McCann,ATL,C,2000000,1 (2019),2000000,2000000,
384,Daniel Descalso,CHC,2B,2000000,2 (2019-20),5000000,2500000,
384,Neil Walker,MIA,1B,2000000,1 (2019),2000000,2000000,
384,Paul DeJong,STL,SS,2000000,6 (2018-23),26000000,4333333,
384,Adam Wainwright,STL,SP,2000000,1 (2019),2000000,2000000,
384,Shelby Miller,TEX,SP,2000000,1 (2019),2000000,2000000,
384,Edinson Volquez,TEX,SP,2000000,1 (2019),2000000,2000000,
384,Zach Duke,CIN,RP,2000000,1 (2019),2000000,2000000,
384,Robbie Grossman,OAK,LF,2000000,1 (2019),2000000,2000000,
384,Josh Harrison,DET,2B,2000000,1 (2019),2000000,2000000,
384,Derek Dietrich,CIN,LF,2000000,1 (2019),2000000,2000000,
384,Aledmys Diaz,HOU,SS,2000000,1 (2019),2000000,2000000,
384,Logan Forsythe,TEX,2B,2000000,1 (2019),2000000,2000000,
384,Hunter Pence,TEX,LF,2000000,1 (2019),2000000,2000000,
398,Michael Lorenzen,CIN,RP,1950000,1 (2019),1950000,1950000,
398,Domingo Santana,SEA,LF,1950000,1 (2019),1950000,1950000,
400,Andrew Chafin,ARI,RP,1945000,1 (2019),1945000,1945000,
401,Lourdes Gurriel Jr.,TOR,2B,1928571,7 (2017-23),22000000,3142857,
402,Jose Alvarez,PHI,RP,1925000,1 (2019),1925000,1925000,
402,Devon Travis,TOR,2B,1925000,1 (2019),1925000,1925000,
404,JC Ramirez,LAA,SP,1901000,1 (2019),1901000,1901000,
405,Archie Bradley,ARI,RP,1830000,1 (2019),1830000,1830000,
406,Hector Neris,PHI,RP,1800000,1 (2019),1800000,1800000,
406,Austin Romine,NYY,C,1800000,1 (2019),1800000,1800000,
406,Blake Parker,MIN,RP,1800000,1 (2019),1800000,1800000,
406,Francisco Liriano,PIT,RP,1800000,1 (2019),1800000,1800000,
410,Tyler Thornburg,BOS,RP,1750000,1 (2019),1750000,1750000,
410,Cam Bedrosian,LAA,RP,1750000,1 (2019),1750000,1750000,
410,Byron Buxton,MIN,CF,1750000,1 (2019),1750000,1750000,
410,Tim Beckham,SEA,SS,1750000,1 (2019),1750000,1750000,
410,Manny Pina,MIL,C,1750000,1 (2019),1750000,1750000,
410,Curtis Granderson,MIA,LF,1750000,1 (2019),1750000,1750000,
410,Gerardo Parra,SF,RF,1750000,1 (2019),1750000,1750000,
410,Yangervis Solarte,SF,3B,1750000,1 (2019),1750000,1750000,
418,Kyle Barraclough,WSH,RP,1725000,1 (2019),1725000,1725000,
419,Jose Leclerc,TEX,RP,1687500,4 (2019-22),14750000,3687500,
419,Chris Rusin,COL,RP,1687500,1 (2019),1687500,1687500,
421,Luis Garcia,LAA,RP,1675000,1 (2019),1675000,1675000,
422,Scott Kingery,PHI,2B,1666666,6 (2018-23),24000000,4000000,
423,Matt Barnes,BOS,RP,1600000,1 (2019),1600000,1600000,
423,Blake Snell,TB,SP,1600000,5 (2019-23),50000000,10000000,
423,Luis Avilan,NYM,RP,1600000,1 (2019),1600000,1600000,
426,Leury Garcia,CWS,OF,1550000,1 (2019),1550000,1550000,
427,Taylor Rogers,MIN,RP,1525000,1 (2019),1525000,1525000,
427,Chris Devenski,HOU,RP,1525000,1 (2019),1525000,1525000,
427,Ryan Tepera,TOR,RP,1525000,1 (2019),1525000,1525000,
430,Carl Edwards Jr.,CHC,RP,1500000,1 (2019),1500000,1500000,
430,Cory Gearrin,SEA,RP,1500000,1 (2019),1500000,1500000,
430,Drew Pomeranz,SF,SP,1500000,1 (2019),1500000,1500000,
430,Brett Anderson,OAK,SP,1500000,1 (2019),1500000,1500000,
430,Matt Wieters,STL,C,1500000,1 (2019),1500000,1500000,
430,Daniel Hudson,TOR,RP,1500000,1 (2019),1500000,1500000,
436,Robbie Erlin,SD,SP,1450000,1 (2019),1450000,1450000,
436,T.J. McFarland,ARI,RP,1450000,1 (2019),1450000,1450000,
438,Tim Anderson,CWS,SS,1400000,6 (2017-22),25000000,4166667,
438,Ryan Buchter,OAK,RP,1400000,1 (2019),1400000,1400000,
438,Hansel Robles,LAA,RP,1400000,1 (2019),1400000,1400000,
438,Delino DeShields,TEX,CF,1400000,1 (2019),1400000,1400000,
438,Aaron Loup,SD,RP,1400000,1 (2019),1400000,1400000,
443,Charlie Culberson,ATL,SS,1395000,1 (2019),1395000,1395000,
444,Tommy Kahnle,NYY,RP,1387500,1 (2019),1387500,1387500,
445,Steven Wright,BOS,SP,1375000,1 (2019),1375000,1375000,
446,Dan Otero,CLE,RP,1350000,2 (2018-19),2500000,1250000,
446,Aaron Altherr,PHI,RF,1350000,1 (2019),1350000,1350000,
446,Tommy La Stella,LAA,2B,1350000,1 (2019),1350000,1350000,
449,Heath Hembree,BOS,RP,1312500,1 (2019),1312500,1312500,
450,Blaine Hardy,DET,RP,1300000,1 (2019),1300000,1300000,
450,Scott Oberg,COL,RP,1300000,1 (2019),1300000,1300000,
450,Brandon Drury,TOR,3B,1300000,1 (2019),1300000,1300000,
450,Ehire Adrianza,MIN,SS,1300000,1 (2019),1300000,1300000,
450,Hunter Strickland,SEA,RP,1300000,1 (2019),1300000,1300000,
450,Jeremy Hellickson,WSH,RP,1300000,1 (2019),1300000,1300000,
456,Daniel Norris,DET,SP,1275000,1 (2019),1275000,1275000,
456,Chaz Roe,TB,RP,1275000,1 (2019),1275000,1275000,
456,Alex Claudio,MIL,RP,1275000,1 (2019),1275000,1275000,
459,Dominic Leone,STL,RP,1260000,1 (2019),1260000,1260000,
460,Tony Sipp,WSH,RP,1250000,1 (2019),1250000,1250000,
460,Nick Hundley,OAK,C,1250000,1 (2019),1250000,1250000,
460,Matt Joyce,ATL,OF,1250000,1 (2019),1250000,1250000,
460,Lucas Duda,KC,1B,1250000,1 (2019),1250000,1250000,
460,Josh Tomlin,ATL,RP,1250000,1 (2019),1250000,1250000,
465,Greg Bird,NYY,1B,1200000,1 (2019),1200000,1200000,
465,Erik Kratz,SF,C,1200000,1 (2019),1200000,1200000,
467,Whit Merrifield,KC,2B,1187500,4 (2019-22),16250000,4062500,
468,Brandon Lowe,TB,2B,1166666,6 (2019-24),24000000,4000000,
469,Travis Jankowski,SD,OF,1165000,1 (2019),1165000,1165000,
470,Brandon Workman,BOS,RP,1150000,1 (2019),1150000,1150000,
470,Melky Cabrera,PIT,LF,1150000,1 (2019),1150000,1150000,
472,Kevin Plawecki,CLE,C,1137500,1 (2019),1137500,1137500,
473,Jose Martinez,STL,LF,1125000,2 (2019-20),3250000,1625000,
473,Adam Conley,MIA,RP,1125000,1 (2019),1125000,1125000,
475,Adam Morgan,PHI,RP,1100000,1 (2019),1100000,1100000,
476,Josh Phegley,OAK,C,1075000,1 (2019),1075000,1075000,
476,Nick Tropeano,LAA,SP,1075000,1 (2019),1075000,1075000,
478,Neil Ramirez,CLE,RP,1000000,1 (2019),1000000,1000000,
478,Brad Miller,CLE,2B,1000000,1 (2019),1000000,1000000,
478,Mark Reynolds,COL,1B,1000000,1 (2019),100000,100000,
478,Chris Herrmann,OAK,C,1000000,1 (2019),1000000,1000000,
478,Jeanmar Gomez,TEX,RP,1000000,1 (2019),1000000,1000000,
478,Peter Bourjos,LAA,OF,1000000,1 (2019),1000000,1000000,
478,Hanley Ramirez,CLE,DH,1000000,1 (2019),1000000,1000000,
485,Tony Wolters,COL,C,960000,1 (2019),960000,960000,
486,Curt Casali,CIN,C,950000,1 (2019),950000,950000,
487,Matt Andriese,ARI,RP,920000,1 (2019),920000,920000,
488,Blake Swihart,BOS,C,910000,1 (2019),910000,910000,
488,Roenis Elias,SEA,RP,910000,1 (2019),910000,910000,
488,Greg Garcia,SD,2B,910000,1 (2019),910000,910000,
491,John Ryan Murphy,ARI,C,900000,1 (2019),900000,900000,
491,Joe Biagini,TOR,RP,900000,1 (2019),900000,900000,
491,Trevor May,MIN,RP,900000,1 (2019),900000,900000,
491,Marco Gonzales,SEA,SP,900000,2 (2019-20),1900000,950000,
491,Xavier Cedeno,CHC,RP,900000,1 (2019),900000,900000,
496,Jesus Sucre,BAL,C,850000,1 (2019),850000,850000,
496,Ji-Man Choi,TB,1B,850000,1 (2019),850000,850000,
498,Nate Karns,BAL,RP,800000,1 (2019),800000,800000,
498,Jesse Hahn,KC,SP,800000,1 (2019),800000,800000,
498,Brian Flynn,KC,RP,800000,1 (2019),800000,800000,
501,Guillermo Heredia,TB,OF,782000,1 (2019),782000,782000,
502,Tony Barnette,CHC,RP,750000,1 (2019),750000,750000,
502,Alex Wilson,MIL,RP,750000,1 (2019),750000,750000,
504,Andrew Benintendi,BOS,LF,717500,1 (2019),717500,717500,
505,Yimi Garcia,LAD,RP,710000,1 (2019),710000,710000,
506,Gordon Beckham,DET,2B,700000,1 (2019),700000,700000,
506,J.B. Shuck,PIT,OF,700000,1 (2019),700000,700000,
508,Josh Hader,MIL,RP,687600,1 (2019),687600,687600,
509,Aaron Judge,NYY,RF,684300,1 (2019),684300,684300,
510,Willson Contreras,CHC,C,684000,1 (2019),684000,684000,
511,Niko Goodrum,DET,2B,670500,1 (2019),670500,670500,
512,Gary Sanchez,NYY,C,669800,1 (2019),669800,669800,
513,Shohei Ohtani,LAA,SP,650000,1 (2019),650000,650000,
513,Richard Rodriguez,PIT,RP,650000,1 (2019),650000,650000,
513,Scott Barlow,KC,SP,650000,1 (2019),650000,650000,
513,Terrance Gore,KC,OF,650000,1 (2019),650000,650000,
517,Alex Bregman,HOU,3B,640500,1 (2019),640500,640500,
518,Jesus Aguilar,MIL,1B,637500,1 (2019),637500,637500,
519,Scott Schebler,CIN,CF,625000,1 (2019),625000,625000,
520,Jose Berrios,MIN,SP,620000,1 (2019),620000,620000,
521,Miguel Andujar,NYY,3B,617600,1 (2019),617600,617600,
522,Albert Almora Jr.,CHC,OF,615500,1 (2019),615500,615500,
523,Rafael Devers,BOS,3B,614500,1 (2019),614500,614500,
524,Zac Rosscup,SEA,RP,610000,1 (2019),610000,610000,
525,Zack Godley,ARI,SP,609400,1 (2019),609400,609400,
526,Edwin Diaz,NYM,RP,607425,1 (2019),607425,607425,
527,Joey Gallo,TEX,LF,605500,1 (2019),605500,605500,
528,Gleyber Torres,NYY,2B,605200,1 (2019),605200,605200,
529,Cody Bellinger,LAD,RF,605000,1 (2019),605000,605000,
530,Chad Green,NYY,RP,598650,1 (2019),598650,598650,
531,Brandon Nimmo,NYM,LF,598285,1 (2019),598285,598285,
532,Nick Pivetta,PHI,SP,598000,1 (2019),598000,598000,
533,Jordan Montgomery,NYY,SP,596600,1 (2019),596600,596600,
534,Ross Stripling,LAD,SP,595000,1 (2019),595000,595000,
535,Justin Miller,WSH,RP,593200,1 (2019),593200,593200,
536,Mike Clevinger,CLE,SP,592200,1 (2019),592200,592200,
537,Seth Lugo,NYM,RP,591875,1 (2019),591875,591875,
538,Max Stassi,HOU,C,590100,1 (2019),590100,590100,
538,Mitch Haniger,SEA,LF,590100,1 (2019),590100,590100,
540,Zach Eflin,PHI,SP,590000,1 (2019),590000,590000,
541,Jameson Taillon,PIT,SP,587500,1 (2019),587500,587500,
542,Josh Bell,PIT,1B,587000,1 (2019),587000,587000,
543,Brian Anderson,MIA,3B,585000,1 (2019),585000,585000,
543,Dansby Swanson,ATL,SS,585000,1 (2019),585000,585000,
543,Luke Jackson,ATL,RP,585000,1 (2019),585000,585000,
546,Adam Frazier,PIT,2B,584000,1 (2019),584000,584000,
546,Trevor Williams,PIT,SP,584000,1 (2019),584000,584000,
548,Tony Kemp,HOU,LF,583600,1 (2019),583600,583600,
549,Brian Goodwin,LAA,LF,583500,1 (2019),583500,583500,
550,Tyler White,HOU,1B,582900,1 (2019),582900,582900,
551,Robert Gsellman,NYM,RP,582500,1 (2019),582500,582500,
551,Joe Musgrove,PIT,SP,582500,1 (2019),582500,582500,
553,Hunter Renfroe,SD,RF,582100,1 (2019),582100,582100,
554,Matt Strahm,SD,SP,581700,1 (2019),581700,581700,
555,Kyle Crick,PIT,RP,581500,1 (2019),581500,581500,
555,Edgar Santana,PIT,RP,581500,1 (2019),581500,581500,
557,Luke Weaver,ARI,SP,581300,1 (2019),581300,581300,
558,Omar Narvaez,SEA,C,581200,1 (2019),581200,581200,
559,Wilmer Difo,WSH,2B,581100,1 (2019),581100,581100,
560,Jonathan Holder,NYY,RP,580300,1 (2019),580300,580300,
561,Matt Chapman,OAK,3B,580000,1 (2019),580000,580000,
561,Jesse Winker,CIN,LF,580000,1 (2019),580000,580000,
561,Reynaldo Lopez,CWS,SP,580000,1 (2019),580000,580000,
564,Ryon Healy,SEA,3B,579800,1 (2019),579800,579800,
565,Colin Moran,PIT,3B,579500,1 (2019),579500,579500,
565,Sam Gaviglio,TOR,RP,579500,1 (2019),579500,579500,
567,Luke Maile,TOR,C,579000,1 (2019),579000,579000,
568,Luis Cessa,NYY,SP,578975,1 (2019),578975,578975,
569,Teoscar Hernandez,TOR,LF,578600,1 (2019),578600,578600,
570,Elias Diaz,PIT,C,578500,1 (2019),578500,578500,
571,Mallex Smith,SEA,CF,578400,1 (2019),578400,578400,
572,Harrison Bader,STL,CF,578300,1 (2019),578300,578300,
572,Juan Soto,WSH,LF,578300,1 (2019),578300,578300,
574,Jakob Junis,KC,SP,578250,1 (2019),578250,578250,
574,Kevin McCarthy,KC,RP,578250,1 (2019),578250,578250,
576,Brad Keller,KC,SP,578175,1 (2019),578175,578175,
577,Hanser Alberto,BAL,3B,578000,1 (2019),578000,578000,
577,Chad Kuhl,PIT,SP,578000,1 (2019),578000,578000,
579,Domingo German,NYY,RP,577500,1 (2019),577500,577500,
579,Ryan Brasier,BOS,RP,577500,1 (2019),577500,577500,
581,Manuel Margot,SD,CF,577100,1 (2019),577100,577100,
582,Erik Gonzalez,PIT,SS,577000,1 (2019),577000,577000,
583,Matt Grace,WSH,RP,576400,1 (2019),576400,576400,
584,Adalberto Mondesi,KC,SS,576000,1 (2019),576000,576000,
585,Amed Rosario,NYM,SS,575500,1 (2019),575500,575500,
585,Trey Mancini,BAL,LF,575500,1 (2019),575500,575500,
587,Ozzie Albies,ATL,2B,575000,1 (2019),575000,575000,
587,Jesse Biddle,ATL,RP,575000,1 (2019),575000,575000,
587,Rhys Hoskins,PHI,1B,575000,1 (2019),575000,575000,
587,Johan Camargo,ATL,3B,575000,0 (2019),575000,,
587,Sean Newcomb,ATL,SP,575000,1 (2019),575000,575000,
587,Shane Carle,ATL,RP,575000,1 (2019),575000,575000,
587,A.J. Minter,ATL,RP,575000,1 (2019),575000,575000,
587,Brian Johnson,BOS,RP,575000,1 (2019),575000,575000,
587,Kendall Graveman,CHC,SP,575000,1 (2019),575000,575000,
587,Yoan Moncada,CWS,3B,575000,1 (2019),575000,575000,
587,Max Muncy,LAD,1B,575000,1 (2019),575000,575000,
587,Austin Barnes,LAD,C,575000,1 (2019),575000,575000,
587,Scott Alexander,LAD,RP,575000,1 (2019),575000,575000,
587,Drew Steckenrider,MIA,RP,575000,1 (2019),575000,575000,
587,Mitch Garver,MIN,C,575000,1 (2019),575000,575000,
587,Nick Williams,PHI,RF,575000,1 (2019),575000,575000,
587,Brandon Brennan,SEA,RP,575000,1 (2019),575000,575000,
587,Luke Bard,LAA,RP,575000,1 (2019),575000,575000,
587,Matt Olson,OAK,1B,575000,1 (2019),575000,575000,
606,Tyler Naquin,CLE,RF,574800,1 (2019),574800,574800,
607,Silvino Bracho,ARI,RP,574600,1 (2019),574600,574600,
608,Steven Brault,PIT,RP,574500,1 (2019),574500,574500,
608,Mikie Mahtook,DET,CF,574500,1 (2019),574500,574500,
610,Edubray Ramos,PHI,RP,573500,1 (2019),573500,573500,
610,Jose Osuna,PIT,1B,573500,1 (2019),573500,573500,
612,Luke Voit,NYY,1B,573200,1 (2019),573200,573200,
613,Tim Hill,KC,RP,573175,1 (2019),573175,573175,
614,Lucas Giolito,CWS,SP,573000,1 (2019),573000,573000,
615,Richard Bleier,BAL,RP,572500,1 (2019),572500,572500,
615,Kevan Smith,LAA,C,572500,1 (2019),572500,572500,
615,Jake Cave,MIN,OF,572500,1 (2019),572500,572500,
615,Trevor Hildenberger,MIN,RP,572500,1 (2019),572500,572500,
619,Keon Broxton,NYM,CF,571765,1 (2019),571765,571765,
620,John Gant,STL,SP,571300,1 (2019),571300,571300,
621,Adam Engel,CWS,CF,571000,1 (2019),571000,571000,
621,Dylan Covey,CWS,RP,571000,1 (2019),571000,571000,
623,Buck Farmer,DET,RP,570800,1 (2019),570800,570800,
624,Jose Alvarado,TB,RP,570600,1 (2019),570600,570600,
625,Max Moroff,CLE,2B,570500,1 (2019),570500,570500,
625,Franmil Reyes,SD,RF,570500,1 (2019),570500,570500,
627,Joey Wendle,TB,3B,570400,1 (2019),570400,570400,
628,Daniel R.  Robertson,TB,2B,570300,1 (2019),570300,570300,
629,Jorge Alfaro,MIA,C,570000,1 (2019),570000,570000,
629,Walker Buehler,LAD,SP,570000,1 (2019),570000,570000,
629,Joey Rickard,BAL,RF,570000,1 (2019),570000,570000,
629,Tyler Mahle,CIN,SP,570000,1 (2019),570000,570000,
629,Wandy Peralta,CIN,RP,570000,1 (2019),570000,570000,
629,Lewis Brinson,MIA,CF,570000,1 (2019),570000,570000,
629,Trevor Richards,MIA,SP,570000,1 (2019),570000,570000,
636,Ronald Guzman,TEX,1B,569500,1 (2019),569500,569500,
636,Victor Caratini,CHC,C,569500,1 (2019),569500,569500,
636,Isiah Kiner-Falefa,TEX,C,569500,1 (2019),569500,569500,
639,John Brebbia,STL,RP,569300,1 (2019),569300,569300,
640,Joe Jimenez,DET,RP,569200,1 (2019),569200,569200,
641,Miguel Castro,BAL,RP,569000,1 (2019),569000,569000,
641,Jace Fry,CWS,RP,569000,1 (2019),569000,569000,
641,Felix Pena,LAA,SP,569000,1 (2019),569000,569000,
641,Noe Ramirez,LAA,RP,569000,1 (2019),569000,569000,
641,Nick Kingham,PIT,RP,569000,1 (2019),569000,569000,
641,Dovydas Neverauskas,PIT,RP,569000,1 (2019),569000,569000,
647,Tyler Austin,MIN,1B,568600,1 (2019),568600,568600,
647,Sam Tuivailala,SEA,RP,568600,1 (2019),568600,568600,
649,Hector Velazquez,BOS,RP,568500,1 (2019),568500,568500,
650,Brent Suter,MIL,SP,568300,1 (2019),568300,568300,
650,Tim Mayza,TOR,RP,568300,1 (2019),568300,568300,
652,Eric Skoglund,KC,SP,568175,1 (2019),568175,568175,
653,Jeff McNeil,NYM,3B,567714,1 (2019),567714,567714,
654,Ben Gamel,MIL,OF,567700,1 (2019),567700,567700,
655,Matt Koch,ARI,RP,567600,1 (2019),567600,567600,
655,Jacob Barnes,MIL,RP,567600,1 (2019),567600,567600,
657,Amir Garrett,CIN,RP,567500,1 (2019),567500,567500,
657,Mike Wright,BAL,SP,567500,1 (2019),567500,567500,
657,Reyes Moronta,SF,RP,567500,1 (2019),567500,567500,
657,Chris Stratton,LAA,SP,567500,1 (2019),567500,567500,
657,Trevor Gott,SF,RP,567500,1 (2019),567500,567500,
662,Drew VerHagen,DET,RP,567400,1 (2019),567400,567400,
663,Hunter Dozier,KC,3B,567225,1 (2019),567225,567225,
664,JaCoby Jones,DET,CF,567100,1 (2019),567100,567100,
664,John Hicks,DET,C,567100,1 (2019),567100,567100,
666,Daniel Palka,CWS,OF,567000,1 (2019),567000,567000,
667,Josh James,HOU,RP,566800,1 (2019),566800,566800,
668,Tyler Glasnow,TB,SP,566700,1 (2019),566700,566700,
668,Dinelson Lamet,SD,SP,566700,1 (2019),566700,566700,
670,Framber Valdez,HOU,RP,566600,1 (2019),566600,566600,
670,Daniel Stumpf,DET,RP,566600,1 (2019),566600,566600,
672,Orlando Arcia,MIL,SS,565700,1 (2019),565700,565700,
673,Pablo Reyes,PIT,OF,565500,1 (2019),565500,565500,
674,Ryan Borucki,TOR,SP,565200,1 (2019),565200,565200,
675,Joey Lucchesi,SD,SP,565100,1 (2019),565100,565100,
676,Dylan Moore,SEA,3B,565000,1 (2019),565000,565000,
676,Dylan Floro,LAD,RP,565000,1 (2019),565000,565000,
676,Max Fried,ATL,RP,565000,1 (2019),565000,565000,
676,German Marquez,COL,SP,565000,1 (2019),565000,565000,
676,Julio Urias,LAD,SP,565000,1 (2019),565000,565000,
676,Bryse Wilson,ATL,SP,565000,1 (2019),565000,565000,
676,Kyle Wright,ATL,SP,565000,1 (2019),565000,565000,
676,Chad Sobotka,ATL,RP,565000,1 (2019),565000,565000,
676,Wes Parsons,ATL,RP,565000,1 (2019),565000,565000,
676,Kyle Freeland,COL,SP,565000,1 (2019),565000,565000,
676,Chad Pinder,OAK,1B,565000,1 (2019),565000,565000,
676,Tayron Guerrero,MIA,RP,565000,1 (2019),565000,565000,
676,Jharel Cotton,OAK,SP,565000,1 (2019),565000,565000,
676,Andrew Knapp,PHI,C,565000,1 (2019),565000,565000,
676,Chris Bassitt,OAK,RP,565000,1 (2019),565000,565000,
676,Brock Stewart,LAD,RP,565000,1 (2019),565000,565000,
676,Robert Stephenson,CIN,SP,565000,0 (2019),565000,,
693,Alex Reyes,STL,SP,564600,1 (2019),564600,564600,
693,Freddy Peralta,MIL,SP,564600,1 (2019),564600,564600,
695,Jordan Luplow,CLE,OF,564500,1 (2019),564500,564500,
696,Koda Glover,WSH,RP,564300,1 (2019),564300,564300,
697,Ryne Stanek,TB,RP,564200,1 (2019),564200,564200,
698,Drew Robinson,STL,3B,564100,1 (2019),564100,564100,
699,Marco Hernandez,BOS,3B,564000,1 (2019),564000,564000,
699,Seranthony Dominguez,PHI,RP,564000,1 (2019),564000,564000,
699,Jacob Stallings,PIT,C,564000,1 (2019),564000,564000,
699,Tyler O'Neill,STL,OF,564000,1 (2019),564000,564000,
699,Randy Rosario,CHC,RP,564000,1 (2019),564000,564000,
704,Adam Cimber,CLE,RP,563800,1 (2019),563800,563800,
704,Taylor Williams,MIL,RP,563800,1 (2019),563800,563800,
706,Mike Mayers,STL,RP,563700,1 (2019),563700,563700,
707,Pedro Severino,BAL,C,563500,1 (2019),563500,563500,
707,David Hess,BAL,SP,563500,1 (2019),563500,563500,
707,Keynan Middleton,LAA,RP,563500,1 (2019),563500,563500,
710,Ryan Yarbrough,TB,SP,563400,1 (2019),563400,563400,
711,Phil Maton,SD,RP,562900,1 (2019),562900,562900,
712,Corbin Burnes,MIL,SP,562800,1 (2019),562800,562800,
712,Dalton Pompey,TOR,OF,562800,1 (2019),562800,562800,
714,Eric Lauer,SD,SP,562500,1 (2019),562500,562500,
714,Wander Suero,WSH,RP,562500,1 (2019),562500,562500,
716,Willy Adames,TB,SS,562400,1 (2019),562400,562400,
717,Chasen Bradford,SEA,RP,562300,1 (2019),562300,562300,
718,Jorge Lopez,KC,SP,562250,1 (2019),562250,562250,
719,Jack Flaherty,STL,SP,562100,1 (2019),562100,562100,
720,Renato Nunez,BAL,3B,562000,1 (2019),562000,562000,
720,Yairo Munoz,STL,SS,562000,1 (2019),562000,562000,
720,Richard Urena,TOR,SS,562000,1 (2019),562000,562000,
723,Yonny Chirinos,TB,SP,561800,1 (2019),561800,561800,
724,David Bote,CHC,3B,561500,1 (2019),561500,561500,
724,David Fletcher,LAA,SS,561500,1 (2019),561500,561500,
724,Justin Anderson,LAA,RP,561500,1 (2019),561500,561500,
724,Diego Castillo,TB,RP,561500,1 (2019),561500,561500,
728,J.D. Davis,NYM,3B,561420,1 (2019),561420,561420,
729,Brandon Woodruff,MIL,SP,561400,1 (2019),561400,561400,
730,Dereck Rodriguez,SF,SP,561250,1 (2019),561250,561250,
731,Bradley Zimmer,CLE,CF,561200,1 (2019),561200,561200,
732,Socrates Brito,SD,RF,561000,1 (2019),561000,561000,
733,Tyler Olson,CLE,RP,560900,1 (2019),560900,560900,
734,Adam Kolarek,TB,RP,560800,1 (2019),560800,560800,
735,Jake Bauers,CLE,LF,560400,1 (2019),560400,560400,
735,Greg Allen,CLE,OF,560400,1 (2019),560400,560400,
735,Miguel Diaz,SD,RP,560400,1 (2019),560400,560400,
735,Wilmer Font,TB,RP,560400,1 (2019),560400,560400,
739,Jose Castillo,SD,RP,560300,1 (2019),560300,560300,
740,Franchy Cordero,SD,CF,560100,1 (2019),560100,560100,
740,Dwight Smith Jr.,BAL,OF,560100,1 (2019),560100,560100,
740,Thomas Pannone,TOR,RP,560100,1 (2019),560100,560100,
743,Ronald Acuna Jr.,ATL,LF,560000,1 (2019),560000,560000,
743,Carson Kelly,ARI,C,560000,1 (2019),560000,560000,
743,David Dahl,COL,LF,560000,1 (2019),560000,560000,
743,Ryan McMahon,COL,2B,560000,1 (2019),560000,560000,
743,Raimel Tapia,COL,OF,560000,1 (2019),560000,560000,
743,Antonio Senzatela,COL,SP,560000,1 (2019),560000,560000,
743,Jose Rondon,CWS,SS,560000,1 (2019),560000,560000,
743,Alex Verdugo,LAD,OF,560000,1 (2019),560000,560000,
743,Caleb Ferguson,LAD,RP,560000,1 (2019),560000,560000,
743,JT Riddle,MIA,SS,560000,1 (2019),560000,560000,
743,Rosell Herrera,MIA,OF,560000,1 (2019),560000,560000,
743,Willians Astudillo,MIN,C,560000,1 (2019),560000,560000,
743,Adalberto Mejia,MIN,RP,560000,1 (2019),560000,560000,
743,Matt Magill,MIN,RP,560000,1 (2019),560000,560000,
743,Gabriel Moya,MIN,RP,560000,1 (2019),560000,560000,
743,Daniel Gossett,OAK,SP,560000,1 (2019),560000,560000,
743,Frankie Montas,OAK,SP,560000,1 (2019),560000,560000,
743,Aaron Brooks,OAK,SP,560000,1 (2019),560000,560000,
761,Robert Stock,SD,RP,559900,1 (2019),559500,559500,
762,Christian Walker,ARI,1B,559800,1 (2019),559800,559800,
763,Shane Bieber,CLE,SP,559600,1 (2019),559600,559600,
764,Billy McKinney,TOR,OF,559400,1 (2019),559400,559400,
765,Dominic Smith,NYM,1B,559320,1 (2019),559320,559320,
766,Nick Rumbelow,SEA,RP,559300,1 (2019),559300,559300,
767,Shawn Armstrong,SEA,RP,559100,1 (2019),559100,559100,
767,Dakota Hudson,STL,SP,559100,1 (2019),559100,559100,
767,Victor Alcantara,DET,RP,559100,1 (2019),559100,559100,
767,Andrew Stevenson,WSH,OF,559100,1 (2019),559100,559100,
771,Paul Fry,BAL,RP,559000,1 (2019),559000,559000,
771,Jimmy Yacabonis,BAL,RP,559000,1 (2019),559000,559000,
771,Manny Banuelos,CWS,RP,559000,1 (2019),559000,559000,
771,Roman Quinn,PHI,OF,559000,1 (2019),559000,559000,
771,Nick Burdi,PIT,RP,559000,1 (2019),559000,559000,
776,Danny Jansen,TOR,C,558700,1 (2019),558700,558700,
777,Grayson Greiner,DET,C,558600,1 (2019),558600,558600,
777,Daniel Vogelbach,SEA,1B,558600,1 (2019),558600,558600,
779,Rio Ruiz,BAL,3B,558500,1 (2019),558500,558500,
779,Sam Travis,BOS,1B,558500,1 (2019),558500,558500,
