rank,Name,Team,POS,Salary,Years,Total Value,Avg Annual,Affliation
84,Gerrit Cole,HOU,SP,13500000,1 (2019),13500000,13500000,
84,Dee Gordon,SEA,2B,13500000,5 (2016-20),50000000,10000000,
86,Mark Trumbo,BAL,DH,13274428,3 (2017-19),36887268,12295756,
87,Jedd Gyorko,STL,3B,13166666,6 (2014-19),35510900,5918483,
88,Andrelton Simmons,LAA,SS,13000000,7 (2014-20),58000000,8285714,
88,Zack Britton,NYY,RP,13000000,3 (2019-21),13000000,4333333,
88,Trevor Bauer,CLE,SP,13000000,1 (2019),13000000,13000000,
88,Josh Reddick,HOU,RF,13000000,4 (2017-20),52000000,13000000,
88,Daniel Murphy,COL,1B,13000000,2 (2019-20),24000000,12000000,
93,Patrick Corbin,WSH,SP,12916666,6 (2019-24),140000000,23333333,
94,Kris Bryant,CHC,3B,12900000,1 (2019),12900000,12900000,
95,Zack Cozart,LAA,3B,12666667,3 (2018-20),38000000,12666667,
96,Ben Zobrist,CHC,2B,12500000,4 (2016-19),56000000,14000000,
96,Tyler Chatwood,CHC,RP,12500000,3 (2018-20),38000000,12666667,
98,Anthony Rizzo,CHC,1B,12285714,7 (2013-19),41000000,5857143,
99,Marcell Ozuna,STL,LF,12250000,1 (2019),12250000,12250000,
99,Andrew Miller,STL,RP,12250000,2 (2019-20),25000000,12500000,
101,Starlin Castro,MIA,2B,12000000,7 (2013-19),60000000,8571429,
101,Madison Bumgarner,SF,SP,12000000,1 (2019),12000000,12000000,
101,Xander Bogaerts,BOS,SS,12000000,1 (2019),12000000,12000000,
101,DJ LeMahieu,NYY,2B,12000000,2 (2019-20),24000000,12000000,
101,Manny Machado,SD,3B,12000000,10 (2019-28),300000000,30000000,
101,Marwin Gonzalez,MIN,3B,12000000,2 (2019-20),21000000,10500000,
101,George Springer,HOU,CF,12000000,2 (2018-19),24000000,12000000,
101,Kendrys Morales,OAK,DH,12000000,3 (2017-19),33000000,11000000,
109,Carlos Martinez,STL,SP,11800000,5 (2017-21),51000000,10200000,
110,Didi Gregorius,NYY,SS,11750000,1 (2019),11750000,11750000,
111,Bryce Harper,PHI,RF,11538461,13 (2019-31),330000000,25384615,
112,Francisco Cervelli,PIT,C,11500000,3 (2017-19),31000000,10333333,
113,Salvador Perez,KC,C,11200000,6 (2016-21),54500000,9083333,
114,Julio Teheran,ATL,SP,11166666,6 (2014-19),32400000,5400000,
115,Matt Harvey,LAA,SP,11000000,1 (2019),11000000,11000000,
115,David Robertson,PHI,RP,11000000,2 (2019-20),23000000,11500000,
115,Andrew McCutchen,PHI,LF,11000000,3 (2019-21),50000000,16666667,
118,Kole Calhoun,LAA,RF,10833333,3 (2017-19),26000000,8666667,
119,Starling Marte,PIT,CF,10666666,6 (2014-19),31000000,5166667,
120,Francisco Lindor,CLE,SS,10550000,1 (2019),10550000,10550000,
121,Jose Quintana,CHC,SP,10500000,1 (2019),10500000,10500000,
121,Carlos Carrasco,CLE,SP,10500000,4 (2019-22),47000000,11750000,
121,Brandon Morrow,CHC,RP,10500000,2 (2018-19),21000000,10500000,
124,Yulieski Gurriel,HOU,1B,10000000,5 (2016-20),47500000,9500000,
124,Tanner Roark,CIN,SP,10000000,1 (2019),10000000,10000000,
124,Mike Moustakas,MIL,2B,10000000,1 (2019),10000000,10000000,
127,Nick Castellanos,DET,RF,9950000,1 (2019),9950000,9950000,
128,Christian Yelich,MIL,RF,9928571,7 (2015-21),49570000,7081429,
129,Mike Minor,TEX,SP,9833333,3 (2018-20),28000000,9333333,
130,Scooter Gennett,CIN,2B,9775000,1 (2019),9775000,9775000,
131,Yasiel Puig,CIN,RF,9700000,1 (2019),9700000,9700000,
132,Alex Wood,CIN,SP,9650000,1 (2019),9650000,9650000,
133,Jose Altuve,HOU,2B,9500000,7 (2018-24),163500000,23357143,
133,Andrew Cashner,BAL,SP,9500000,2 (2018-19),16000000,8000000,
133,Jake Odorizzi,MIN,SP,9500000,1 (2019),9500000,9500000,
133,Yusei Kikuchi,SEA,SP,9500000,4 (2019-22),56000000,14000000,
137,Kevin Gausman,ATL,SP,9350000,1 (2019),9350000,9350000,
138,Lance Lynn,TEX,SP,9333333,3 (2019-21),30000000,10000000,
139,Juan Nicasio,PHI,RP,9250000,2 (2018-19),17000000,8500000,
140,Ivan Nova,CWS,SP,9166667,3 (2017-19),26000000,8666667,
141,Bryan Shaw,COL,RP,9166666,3 (2018-20),27000000,9000000,
141,Jake McGee,COL,RP,9166666,3 (2018-20),27000000,9000000,
143,Juan Lagares,NYM,CF,9100000,5 (2015-19),23553696,4710739,
144,Jason Vargas,NYM,SP,9000000,2 (2018-19),16000000,8000000,
144,Kelvin Herrera,CWS,RP,9000000,2 (2019-20),18000000,9000000,
144,Trevor Cahill,LAA,SP,9000000,1 (2019),9000000,9000000,
144,Adam Ottavino,NYY,RP,9000000,3 (2019-21),27000000,9000000,
144,Brian Dozier,WSH,2B,9000000,1 (2019),9000000,9000000,
144,Anibal Sanchez,WSH,SP,9000000,2 (2019-20),19000000,9500000,
144,Todd Frazier,NYM,3B,9000000,2 (2018-19),17000000,8500000,
144,Jacob deGrom,NYM,SP,9000000,5 (2019-23),137500000,27500000,
144,Tommy Hunter,PHI,RP,9000000,2 (2018-19),18000000,9000000,
153,Darren O'''Day,ATL,RP,8854712,4 (2016-19),31000000,7750000,
154,Adam Eaton,WSH,RF,8700000,5 (2015-19),23500000,4700000,
155,Kevin Kiermaier,TB,CF,8583333,6 (2017-22),54000000,9000000,
156,James Paxton,NYY,SP,8575000,1 (2019),8575000,8575000,
157,Jackie Bradley Jr.,BOS,CF,8550000,1 (2019),8550000,8550000,
158,Yonder Alonso,CWS,DH,8500000,2 (2018-19),16000000,8000000,
158,Corey Dickerson,PIT,LF,8500000,1 (2019),8500000,8500000,
158,Cody Allen,LAA,RP,8500000,1 (2019),8500000,8500000,
158,Anthony Swarzak,SEA,RP,8500000,2 (2018-19),14000000,7000000,
158,Jed Lowrie,NYM,2B,8500000,2 (2019-20),20000000,10000000,
158,Addison Reed,MIN,RP,8500000,2 (2018-19),16750000,8375000,
164,Rougned Odor,TEX,2B,8333333,6 (2017-22),49500000,8250000,
165,Pat Neshek,PHI,RP,8125000,2 (2018-19),16250000,8125000,
165,Kyle Gibson,MIN,SP,8125000,1 (2019),8125000,8125000,
167,Miles Mikolas,STL,SP,8000000,2 (2018-19),15500000,7750000,
167,Jason Castro,MIN,C,8000000,3 (2017-19),24500000,8166667,
167,Michael Pineda,MIN,SP,8000000,2 (2018-19),10000000,5000000,
167,Wilson Ramos,NYM,C,8000000,2 (2019-20),19000000,9500000,
167,Justin Smoak,TOR,1B,8000000,1 (2019),8000000,8000000,
167,CC Sabathia,NYY,SP,8000000,1 (2019),8000000,8000000,
167,Joe Smith,HOU,RP,8000000,2 (2018-19),15000000,7500000,
174,Chris Archer,PIT,SP,7758333,6 (2014-19),25500000,4250000,
175,Cesar Hernandez,PHI,2B,7750000,1 (2019),7750000,7750000,
175,Brett Cecil,STL,RP,7750000,4 (2017-20),30500000,7625000,
177,Welington Castillo,CWS,C,7500000,2 (2018-19),15000000,7500000,
177,Steve Cishek,CHC,RP,7500000,2 (2018-19),13500000,6750000,
177,Sonny Gray,CIN,SP,7500000,1 (2019),7500000,7500000,
177,Jonathan Schoop,MIN,2B,7500000,1 (2019),7500000,7500000,
177,Brett Gardner,NYY,LF,7500000,1 (2019),7500000,7500000,
177,Stephen Piscotty,OAK,RF,7500000,6 (2017-22),33500000,5583333,
183,Brad Hand,CLE,RP,7416666,3 (2018-20),19750000,6583333,
184,Kyle Hendricks,CHC,SP,7405000,1 (2019),7405000,7405000,
185,Marcus Stroman,TOR,SP,7400000,1 (2019),7400000,7400000,
186,Mike Dunn,COL,RP,7333333,3 (2017-19),19000000,6333333,
187,Alex Colome,CWS,RP,7325000,1 (2019),7325000,7325000,
